"Soort misdrijf";"Perioden";"Regio's";"Geregistreerde misdrijven (aantal)"
"Totaal misdrijven";"2022 september";"Asten";"      47"
"Totaal misdrijven";"2022 oktober";"Asten";"      39"
"Totaal misdrijven";"2022 november";"Asten";"      73"
"Totaal misdrijven";"2022 december";"Asten";"      45"
"Totaal misdrijven";"2023 januari";"Asten";"      50"
"Totaal misdrijven";"2023 februari";"Asten";"      46"
"Totaal misdrijven";"2023 maart";"Asten";"      47"
"Totaal misdrijven";"2023 april";"Asten";"      60"
"Totaal misdrijven";"2023 mei";"Asten";"      56"
"Totaal misdrijven";"2023 juni";"Asten";"      52"
"Totaal misdrijven";"2023 juli";"Asten";"      52"
"Totaal misdrijven";"2023 augustus";"Asten";"      69"
"Totaal misdrijven";"2022 september";"Baarle-Nassau";"      10"
"Totaal misdrijven";"2022 oktober";"Baarle-Nassau";"      16"
"Totaal misdrijven";"2022 november";"Baarle-Nassau";"      17"
"Totaal misdrijven";"2022 december";"Baarle-Nassau";"      22"
"Totaal misdrijven";"2023 januari";"Baarle-Nassau";"      22"
"Totaal misdrijven";"2023 februari";"Baarle-Nassau";"       9"
"Totaal misdrijven";"2023 maart";"Baarle-Nassau";"      21"
"Totaal misdrijven";"2023 april";"Baarle-Nassau";"      14"
"Totaal misdrijven";"2023 mei";"Baarle-Nassau";"      21"
"Totaal misdrijven";"2023 juni";"Baarle-Nassau";"      18"
"Totaal misdrijven";"2023 juli";"Baarle-Nassau";"      25"
"Totaal misdrijven";"2023 augustus";"Baarle-Nassau";"      24"
"Totaal misdrijven";"2022 september";"Baarn";"      78"
"Totaal misdrijven";"2022 oktober";"Baarn";"      94"
"Totaal misdrijven";"2022 november";"Baarn";"      67"
"Totaal misdrijven";"2022 december";"Baarn";"      69"
"Totaal misdrijven";"2023 januari";"Baarn";"      79"
"Totaal misdrijven";"2023 februari";"Baarn";"      67"
"Totaal misdrijven";"2023 maart";"Baarn";"      82"
"Totaal misdrijven";"2023 april";"Baarn";"      71"
"Totaal misdrijven";"2023 mei";"Baarn";"      89"
"Totaal misdrijven";"2023 juni";"Baarn";"      91"
"Totaal misdrijven";"2023 juli";"Baarn";"     121"
"Totaal misdrijven";"2023 augustus";"Baarn";"      76"
"Totaal misdrijven";"2022 september";"Barendrecht";"     193"
"Totaal misdrijven";"2022 oktober";"Barendrecht";"     180"
"Totaal misdrijven";"2022 november";"Barendrecht";"     175"
"Totaal misdrijven";"2022 december";"Barendrecht";"     153"
"Totaal misdrijven";"2023 januari";"Barendrecht";"     148"
"Totaal misdrijven";"2023 februari";"Barendrecht";"     138"
"Totaal misdrijven";"2023 maart";"Barendrecht";"     150"
"Totaal misdrijven";"2023 april";"Barendrecht";"     131"
"Totaal misdrijven";"2023 mei";"Barendrecht";"     151"
"Totaal misdrijven";"2023 juni";"Barendrecht";"     174"
"Totaal misdrijven";"2023 juli";"Barendrecht";"     135"
"Totaal misdrijven";"2023 augustus";"Barendrecht";"     136"
"Totaal misdrijven";"2022 september";"Barneveld";"     147"
"Totaal misdrijven";"2022 oktober";"Barneveld";"     164"
"Totaal misdrijven";"2022 november";"Barneveld";"     171"
"Totaal misdrijven";"2022 december";"Barneveld";"     149"
"Totaal misdrijven";"2023 januari";"Barneveld";"     142"
"Totaal misdrijven";"2023 februari";"Barneveld";"     133"
"Totaal misdrijven";"2023 maart";"Barneveld";"     124"
"Totaal misdrijven";"2023 april";"Barneveld";"     154"
"Totaal misdrijven";"2023 mei";"Barneveld";"     130"
"Totaal misdrijven";"2023 juni";"Barneveld";"     156"
"Totaal misdrijven";"2023 juli";"Barneveld";"     146"
"Totaal misdrijven";"2023 augustus";"Barneveld";"     157"
"Totaal misdrijven";"2022 september";"Beek (L.)";"      40"
"Totaal misdrijven";"2022 oktober";"Beek (L.)";"      59"
"Totaal misdrijven";"2022 november";"Beek (L.)";"      63"
"Totaal misdrijven";"2022 december";"Beek (L.)";"      57"
"Totaal misdrijven";"2023 januari";"Beek (L.)";"      59"
"Totaal misdrijven";"2023 februari";"Beek (L.)";"      77"
"Totaal misdrijven";"2023 maart";"Beek (L.)";"      58"
"Totaal misdrijven";"2023 april";"Beek (L.)";"      44"
"Totaal misdrijven";"2023 mei";"Beek (L.)";"      68"
"Totaal misdrijven";"2023 juni";"Beek (L.)";"      67"
"Totaal misdrijven";"2023 juli";"Beek (L.)";"      68"
"Totaal misdrijven";"2023 augustus";"Beek (L.)";"      57"
"Totaal misdrijven";"2022 september";"Beekdaelen";"      73"
"Totaal misdrijven";"2022 oktober";"Beekdaelen";"      88"
"Totaal misdrijven";"2022 november";"Beekdaelen";"      99"
"Totaal misdrijven";"2022 december";"Beekdaelen";"      99"
"Totaal misdrijven";"2023 januari";"Beekdaelen";"      77"
"Totaal misdrijven";"2023 februari";"Beekdaelen";"      66"
"Totaal misdrijven";"2023 maart";"Beekdaelen";"      97"
"Totaal misdrijven";"2023 april";"Beekdaelen";"      77"
"Totaal misdrijven";"2023 mei";"Beekdaelen";"      82"
"Totaal misdrijven";"2023 juni";"Beekdaelen";"      90"
"Totaal misdrijven";"2023 juli";"Beekdaelen";"      97"
"Totaal misdrijven";"2023 augustus";"Beekdaelen";"      87"
"Totaal misdrijven";"2022 september";"Beesel";"      35"
"Totaal misdrijven";"2022 oktober";"Beesel";"      32"
"Totaal misdrijven";"2022 november";"Beesel";"      36"
"Totaal misdrijven";"2022 december";"Beesel";"      28"
"Totaal misdrijven";"2023 januari";"Beesel";"      36"
"Totaal misdrijven";"2023 februari";"Beesel";"      31"
"Totaal misdrijven";"2023 maart";"Beesel";"      40"
"Totaal misdrijven";"2023 april";"Beesel";"      26"
"Totaal misdrijven";"2023 mei";"Beesel";"      34"
"Totaal misdrijven";"2023 juni";"Beesel";"      35"
"Totaal misdrijven";"2023 juli";"Beesel";"      25"
"Totaal misdrijven";"2023 augustus";"Beesel";"      38"
"Totaal misdrijven";"2022 september";"Berg en Dal";"      87"
"Totaal misdrijven";"2022 oktober";"Berg en Dal";"     140"
"Totaal misdrijven";"2022 november";"Berg en Dal";"      96"
"Totaal misdrijven";"2022 december";"Berg en Dal";"     134"
"Totaal misdrijven";"2023 januari";"Berg en Dal";"     104"
"Totaal misdrijven";"2023 februari";"Berg en Dal";"     101"
"Totaal misdrijven";"2023 maart";"Berg en Dal";"     112"
"Totaal misdrijven";"2023 april";"Berg en Dal";"     106"
"Totaal misdrijven";"2023 mei";"Berg en Dal";"      74"
"Totaal misdrijven";"2023 juni";"Berg en Dal";"      91"
"Totaal misdrijven";"2023 juli";"Berg en Dal";"     107"
"Totaal misdrijven";"2023 augustus";"Berg en Dal";"     115"
"Totaal misdrijven";"2022 september";"Bergeijk";"      27"
"Totaal misdrijven";"2022 oktober";"Bergeijk";"      47"
"Totaal misdrijven";"2022 november";"Bergeijk";"      49"
"Totaal misdrijven";"2022 december";"Bergeijk";"      31"
"Totaal misdrijven";"2023 januari";"Bergeijk";"      57"
"Totaal misdrijven";"2023 februari";"Bergeijk";"      57"
"Totaal misdrijven";"2023 maart";"Bergeijk";"      38"
"Totaal misdrijven";"2023 april";"Bergeijk";"      37"
"Totaal misdrijven";"2023 mei";"Bergeijk";"      33"
"Totaal misdrijven";"2023 juni";"Bergeijk";"      39"
"Totaal misdrijven";"2023 juli";"Bergeijk";"      57"
"Totaal misdrijven";"2023 augustus";"Bergeijk";"      37"
"Totaal misdrijven";"2022 september";"Bergen (L.)";"      17"
"Totaal misdrijven";"2022 oktober";"Bergen (L.)";"      41"
"Totaal misdrijven";"2022 november";"Bergen (L.)";"      21"
"Totaal misdrijven";"2022 december";"Bergen (L.)";"      23"
"Totaal misdrijven";"2023 januari";"Bergen (L.)";"      39"
"Totaal misdrijven";"2023 februari";"Bergen (L.)";"      25"
"Totaal misdrijven";"2023 maart";"Bergen (L.)";"      38"
"Totaal misdrijven";"2023 april";"Bergen (L.)";"      27"
"Totaal misdrijven";"2023 mei";"Bergen (L.)";"      41"
"Totaal misdrijven";"2023 juni";"Bergen (L.)";"      42"
"Totaal misdrijven";"2023 juli";"Bergen (L.)";"      27"
"Totaal misdrijven";"2023 augustus";"Bergen (L.)";"      34"
"Totaal misdrijven";"2022 september";"Bergen (NH.)";"      65"
"Totaal misdrijven";"2022 oktober";"Bergen (NH.)";"      84"
"Totaal misdrijven";"2022 november";"Bergen (NH.)";"      67"
"Totaal misdrijven";"2022 december";"Bergen (NH.)";"      61"
"Totaal misdrijven";"2023 januari";"Bergen (NH.)";"      71"
"Totaal misdrijven";"2023 februari";"Bergen (NH.)";"      68"
"Totaal misdrijven";"2023 maart";"Bergen (NH.)";"      72"
"Totaal misdrijven";"2023 april";"Bergen (NH.)";"      77"
"Totaal misdrijven";"2023 mei";"Bergen (NH.)";"      73"
"Totaal misdrijven";"2023 juni";"Bergen (NH.)";"      89"
"Totaal misdrijven";"2023 juli";"Bergen (NH.)";"      76"
"Totaal misdrijven";"2023 augustus";"Bergen (NH.)";"     102"
"Totaal misdrijven";"2022 september";"Bergen op Zoom";"     229"
"Totaal misdrijven";"2022 oktober";"Bergen op Zoom";"     276"
"Totaal misdrijven";"2022 november";"Bergen op Zoom";"     267"
