Id,crimes_count,region,year
4158,225,GM0007,2014JJ00
4164,220,GM0007,2015JJ00
4170,205,GM0007,2016JJ00
4176,220,GM0007,2017JJ00
4248,1195,GM1945,2016JJ00
4254,1020,GM1945,2017JJ00
4260,980,GM1945,2018JJ00
4266,1135,GM1945,2019JJ00
4272,1165,GM1945,2020JJ00
4278,1140,GM1945,2021JJ00
4284,1295,GM1945,2022JJ00
4290,345,GM0491,2010JJ00
4296,325,GM0491,2011JJ00
4302,335,GM0491,2012JJ00
4308,330,GM0491,2013JJ00
4314,260,GM0491,2014JJ00
4368,915,GM1724,2010JJ00
4374,835,GM1724,2011JJ00
4380,1000,GM1724,2012JJ00
4386,875,GM1724,2013JJ00
4392,675,GM1724,2014JJ00
4398,640,GM1724,2015JJ00
4404,600,GM1724,2016JJ00
4410,625,GM1724,2017JJ00
4416,495,GM1724,2018JJ00
4422,505,GM1724,2019JJ00
4428,545,GM1724,2020JJ00
4434,515,GM1724,2021JJ00
4440,490,GM1724,2022JJ00
4446,615,GM0893,2010JJ00
4452,525,GM0893,2011JJ00
4458,480,GM0893,2012JJ00
4464,555,GM0893,2013JJ00
4470,495,GM0893,2014JJ00
4476,465,GM0893,2015JJ00
4482,420,GM0893,2016JJ00
4488,340,GM0893,2017JJ00
4494,375,GM0893,2018JJ00
4500,335,GM0893,2019JJ00
4506,375,GM0893,2020JJ00
4512,515,GM0893,2021JJ00
4518,410,GM0893,2022JJ00
4524,1610,GM0373,2010JJ00
4530,1625,GM0373,2011JJ00
4536,1540,GM0373,2012JJ00
4542,1325,GM0373,2013JJ00
4548,1255,GM0373,2014JJ00
4554,1265,GM0373,2015JJ00
4560,1185,GM0373,2016JJ00
4566,870,GM0373,2017JJ00
4572,840,GM0373,2018JJ00
4578,825,GM0373,2019JJ00
4584,930,GM0373,2020JJ00
4590,885,GM0373,2021JJ00
4596,855,GM0373,2022JJ00
4602,5240,GM0748,2010JJ00
4608,4815,GM0748,2011JJ00
4614,5025,GM0748,2012JJ00
4620,4765,GM0748,2013JJ00
4626,4240,GM0748,2014JJ00
4632,4135,GM0748,2015JJ00
4638,3900,GM0748,2016JJ00
4644,3300,GM0748,2017JJ00
4650,3180,GM0748,2018JJ00
4656,3615,GM0748,2019JJ00
4662,3540,GM0748,2020JJ00
4668,3490,GM0748,2021JJ00
4674,3120,GM0748,2022JJ00
4680,1825,GM1859,2010JJ00
4686,1560,GM1859,2011JJ00
4692,1825,GM1859,2012JJ00
4698,1445,GM1859,2013JJ00
4704,1305,GM1859,2014JJ00
4710,1185,GM1859,2015JJ00
4716,1075,GM1859,2016JJ00
4722,1045,GM1859,2017JJ00
4728,990,GM1859,2018JJ00
4734,1040,GM1859,2019JJ00
4740,965,GM1859,2020JJ00
4746,1020,GM1859,2021JJ00
4752,1115,GM1859,2022JJ00
4758,1230,GM1721,2010JJ00
4764,1285,GM1721,2011JJ00
4770,1300,GM1721,2012JJ00
4776,1325,GM1721,2013JJ00
4782,1170,GM1721,2014JJ00
4788,1165,GM1721,2015JJ00
4794,1040,GM1721,2016JJ00
4800,885,GM1721,2017JJ00
4806,820,GM1721,2018JJ00
4812,970,GM1721,2019JJ00
4818,930,GM1721,2020JJ00
4824,930,GM1721,2021JJ00
4830,920,GM1721,2022JJ00
4836,400,GM0568,2010JJ00
4842,485,GM0568,2011JJ00
4848,415,GM0568,2012JJ00
4854,395,GM0568,2013JJ00
4860,380,GM0568,2014JJ00
4914,1855,GM0753,2010JJ00
4920,1870,GM0753,2011JJ00
4926,1655,GM0753,2012JJ00
4932,1625,GM0753,2013JJ00
4938,1540,GM0753,2014JJ00
4944,1440,GM0753,2015JJ00
4950,1310,GM0753,2016JJ00
4956,1105,GM0753,2017JJ00
4962,1100,GM0753,2018JJ00
4968,1100,GM0753,2019JJ00
4974,1255,GM0753,2020JJ00
4980,1170,GM0753,2021JJ00
4986,1265,GM0753,2022JJ00
4992,1440,GM0209,2010JJ00
4998,1265,GM0209,2011JJ00
5004,1200,GM0209,2012JJ00
5010,1115,GM0209,2013JJ00
5016,1030,GM0209,2014JJ00
5022,910,GM0209,2015JJ00
5028,890,GM0209,2016JJ00
5034,885,GM0209,2017JJ00
5040,780,GM0209,2018JJ00
5046,895,GM0209,2019JJ00
5052,910,GM0209,2020JJ00
5058,795,GM0209,2021JJ00
5064,730,GM0209,2022JJ00
5070,3495,GM0375,2010JJ00
5076,3335,GM0375,2011JJ00
5082,3240,GM0375,2012JJ00
5088,2985,GM0375,2013JJ00
5094,3025,GM0375,2014JJ00
5100,2690,GM0375,2015JJ00
5106,2345,GM0375,2016JJ00
5112,1970,GM0375,2017JJ00
5118,1820,GM0375,2018JJ00
5124,1945,GM0375,2019JJ00
5130,1850,GM0375,2020JJ00
5136,1835,GM0375,2021JJ00
5142,2010,GM0375,2022JJ00
5148,290,GM0063,2010JJ00
5154,315,GM0063,2011JJ00
5160,300,GM0063,2012JJ00
5166,280,GM0063,2013JJ00
5172,235,GM0063,2014JJ00
5178,245,GM0063,2015JJ00
5184,265,GM0063,2016JJ00
5190,180,GM0063,2017JJ00
5226,2500,GM0310,2010JJ00
5232,2275,GM0310,2011JJ00
5238,2050,GM0310,2012JJ00
5244,1905,GM0310,2013JJ00
5250,1825,GM0310,2014JJ00
5256,1885,GM0310,2015JJ00
5262,1710,GM0310,2016JJ00
