region_code,period,population
LD01,2020-05,1728353.0
LD01,2020-06,1728188.0
LD01,2020-07,1727961.0
LD01,2020-08,1729643.0
LD01,2020-09,1731500.0
LD01,2020-10,1732373.0
LD01,2020-11,1732915.0
LD01,2020-12,1733143.0
LD01,2021-01,1732680.0
LD01,2021-02,1732631.0
LD01,2021-03,1733255.0
LD01,2021-04,1734254.0
LD01,2021-05,1734895.0
LD01,2021-06,1735306.0
LD01,2021-07,1736270.0
LD01,2021-08,1738099.0
LD01,2021-09,1741539.0
LD01,2021-10,1742657.0
LD01,2021-11,1742575.0
LD01,2021-12,1741932.0
LD01,2022-01,1742126.0
LD01,2022-02,1742873.0
LD01,2022-03,1745541.0
LD01,2022-04,1748596.0
LD01,2022-05,1749886.0
LD01,2022-06,1750980.0
LD01,2022-07,1752221.0
LD01,2022-08,1754846.0
LD01,2022-09,1757266.0
LD01,2022-10,1757837.0
LD01,2022-11,1758097.0
LD01,2022-12,1757677.0
LD01,2023-01,1757440.0
LD01,2023-02,1757969.0
LD01,2023-03,1758620.0
LD01,2023-04,1758977.0
LD01,2023-05,1759347.0
LD01,2023-06,1759941.0
LD01,2023-07,1760268.0
LD01,2023-08,1763274.0
LD01,2023-09,1766497.0
LD02,2002-01,3387850.0
LD02,2002-02,3389727.0
LD02,2002-03,3391732.0
LD02,2002-04,3393849.0
LD02,2002-05,3396067.0
LD02,2002-06,3398275.0
LD02,2002-07,3400268.0
LD02,2002-08,3403229.0
LD02,2002-09,3406155.0
LD02,2002-10,3408747.0
LD02,2002-11,3410351.0
LD02,2002-12,3412779.0
LD02,2003-01,3414313.0
LD02,2003-02,3416020.0
LD02,2003-03,3417403.0
LD02,2003-04,3418694.0
LD02,2003-05,3420210.0
LD02,2003-06,3421730.0
LD02,2003-07,3423983.0
LD02,2003-08,3426021.0
LD02,2003-09,3427902.0
LD02,2003-10,3429666.0
LD02,2003-11,3431142.0
LD02,2003-12,3432345.0
LD02,2004-01,3433187.0
LD02,2004-02,3433481.0
LD02,2004-03,3434404.0
LD02,2004-04,3435605.0
LD02,2004-05,3437097.0
LD02,2004-06,3438775.0
LD02,2004-07,3440531.0
LD02,2004-08,3441953.0
LD02,2004-09,3443384.0
LD02,2004-10,3444427.0
LD02,2004-11,3445288.0
LD02,2004-12,3447301.0
LD02,2005-01,3448376.0
LD02,2005-02,3449346.0
LD02,2005-03,3450175.0
LD02,2005-04,3451086.0
LD02,2005-05,3452459.0
LD02,2005-06,3453451.0
LD02,2005-07,3454714.0
LD02,2005-08,3456201.0
LD02,2005-09,3457646.0
LD02,2005-10,3458953.0
LD02,2005-11,3459311.0
LD02,2005-12,3459889.0
LD02,2006-01,3460903.0
LD02,2006-02,3461315.0
LD02,2006-03,3461582.0
LD02,2006-04,3462083.0
LD02,2006-05,3462844.0
LD02,2006-06,3463565.0
LD02,2006-07,3464584.0
LD02,2006-08,3465717.0
LD02,2006-09,3467300.0
LD02,2006-10,3468173.0
LD02,2006-11,3468513.0
LD02,2006-12,3469857.0
LD02,2007-01,3470481.0
LD02,2007-02,3471300.0
LD02,2007-03,3472150.0
LD02,2007-04,3472676.0
LD02,2007-05,3473848.0
LD02,2007-06,3474661.0
LD02,2007-07,3475830.0
LD02,2007-08,3477656.0
LD02,2007-09,3479672.0
LD02,2007-10,3480640.0
LD02,2007-11,3481265.0
LD02,2007-12,3482551.0
LD02,2008-01,3483426.0
LD02,2008-02,3484937.0
LD02,2008-03,3486027.0
LD02,2008-04,3487155.0
LD02,2008-05,3488472.0
LD02,2008-06,3489834.0
LD02,2008-07,3491452.0
LD02,2008-08,3493480.0
LD02,2008-09,3495812.0
LD02,2008-10,3497149.0
LD02,2008-11,3498241.0
LD02,2008-12,3499946.0
LD02,2009-01,3500810.0
LD02,2009-02,3501960.0
LD02,2009-03,3503318.0
LD02,2009-04,3504658.0
LD02,2009-05,3506209.0
LD02,2009-06,3507932.0
LD02,2009-07,3509904.0
LD02,2009-08,3511536.0
LD02,2009-09,3513623.0
LD02,2009-10,3514836.0
LD02,2009-11,3515930.0
LD02,2009-12,3517162.0
LD02,2010-01,3517892.0
LD02,2010-02,3518776.0
LD02,2010-03,3519622.0
LD02,2010-04,3520267.0
LD02,2010-05,3521689.0
LD02,2010-06,3523258.0
LD02,2010-07,3524401.0
LD02,2010-08,3526351.0
LD02,2010-09,3527283.0
LD02,2010-10,3529117.0
LD02,2010-11,3530335.0
LD02,2010-12,3531103.0
LD02,2011-01,3532079.0
LD02,2011-02,3533413.0
LD02,2011-03,3534528.0
LD02,2011-04,3535023.0
LD02,2011-05,3535886.0
LD02,2011-06,3537340.0
LD02,2011-07,3538355.0
LD02,2011-08,3540483.0
LD02,2011-09,3542360.0
LD02,2011-10,3543314.0
LD02,2011-11,3543375.0
LD02,2011-12,3543938.0
LD02,2012-01,3544492.0
LD02,2012-02,3545284.0
LD02,2012-03,3545859.0
LD02,2012-04,3546209.0
LD02,2012-05,3546853.0
LD02,2012-06,3547747.0
LD02,2012-07,3548374.0
LD02,2012-08,3550113.0
LD02,2012-09,3551677.0
LD02,2012-10,3552856.0
LD02,2012-11,3553756.0
LD02,2012-12,3553582.0
LD02,2013-01,3553949.0
LD02,2013-02,3554268.0
LD02,2013-03,3554560.0
LD02,2013-04,3554481.0
LD02,2013-05,3554752.0
LD02,2013-06,3555587.0
LD02,2013-07,3556163.0
LD02,2013-08,3557225.0
LD02,2013-09,3558696.0
LD02,2013-10,3558533.0
LD02,2013-11,3559068.0
LD02,2013-12,3559282.0
LD02,2014-01,3560067.0
LD02,2014-02,3560735.0
LD02,2014-03,3561467.0
LD02,2014-04,3561828.0
LD02,2014-05,3562365.0
LD02,2014-06,3563468.0
LD02,2014-07,3563770.0
LD02,2014-08,3564587.0
LD02,2014-09,3566448.0
LD02,2014-10,3567534.0
LD02,2014-11,3568381.0
LD02,2014-12,3569021.0
LD02,2015-01,3569233.0
LD02,2015-02,3570148.0
LD02,2015-03,3570739.0
LD02,2015-04,3571610.0
LD02,2015-05,3572511.0
LD02,2015-06,3573460.0
LD02,2015-07,3574135.0
LD02,2015-08,3576401.0
LD02,2015-09,3578814.0
LD02,2015-10,3580498.0
LD02,2015-11,3582095.0
LD02,2015-12,3583699.0
LD02,2016-01,3584414.0
LD02,2016-02,3586138.0
LD02,2016-03,3587598.0
LD02,2016-04,3588837.0
LD02,2016-05,3590371.0
LD02,2016-06,3591661.0
LD02,2016-07,3592947.0
LD02,2016-08,3596831.0
LD02,2016-09,3599379.0
LD02,2016-10,3600665.0
LD02,2016-11,3602197.0
LD02,2016-12,3603406.0
LD02,2017-01,3603905.0
LD02,2017-02,3605135.0
LD02,2017-03,3606798.0
LD02,2017-04,3608058.0
LD02,2017-05,3609663.0
LD02,2017-06,3611036.0
LD02,2017-07,3612348.0
LD02,2017-08,3616005.0
LD02,2017-09,3619833.0
LD02,2017-10,3621765.0
LD02,2017-11,3622739.0
LD02,2017-12,3623274.0
LD02,2018-01,3623810.0
LD02,2018-02,3624999.0
LD02,2018-03,3625133.0
LD02,2018-04,3626196.0
LD02,2018-05,3627850.0
LD02,2018-06,3629787.0
LD02,2018-07,3631907.0
LD02,2018-08,3635610.0
LD02,2018-09,3639870.0
LD02,2018-10,3641832.0
LD02,2018-11,3643646.0
LD02,2018-12,3644949.0
LD02,2019-01,3646168.0
LD02,2019-02,3647843.0
LD02,2019-03,3648947.0
LD02,2019-04,3650175.0
LD02,2019-05,3651676.0
LD02,2019-06,3653676.0
LD02,2019-07,3656210.0
LD02,2019-08,3661022.0
LD02,2019-09,3665977.0
LD02,2019-10,3668446.0
LD02,2019-11,3670154.0
LD02,2019-12,3671379.0
LD02,2020-01,3672739.0
LD02,2020-02,3674804.0
LD02,2020-03,3675439.0
LD02,2020-04,3675394.0
LD02,2020-05,3676576.0
LD02,2020-06,3677802.0
LD02,2020-07,3680462.0
LD02,2020-08,3683919.0
LD02,2020-09,3687253.0
LD02,2020-10,3689082.0
LD02,2020-11,3690458.0
LD02,2020-12,3691362.0
LD02,2021-01,3692359.0
LD02,2021-02,3694599.0
LD02,2021-03,3696345.0
LD02,2021-04,3698171.0
LD02,2021-05,3699569.0
LD02,2021-06,3701209.0
LD02,2021-07,3703974.0
LD02,2021-08,3707958.0
LD02,2021-09,3713033.0
LD02,2021-10,3715414.0
LD02,2021-11,3716867.0
LD02,2021-12,3717153.0
LD02,2022-01,3718462.0
LD02,2022-02,3720665.0
LD02,2022-03,3727069.0
LD02,2022-04,3734631.0
LD02,2022-05,3738855.0
LD02,2022-06,3742639.0
LD02,2022-07,3745478.0
LD02,2022-08,3750992.0
LD02,2022-09,3757216.0
LD02,2022-10,3760228.0
LD02,2022-11,3762209.0
LD02,2022-12,3762742.0
LD02,2023-01,3764097.0
LD02,2023-02,3766341.0
LD02,2023-03,3767735.0
LD02,2023-04,3769428.0
LD02,2023-05,3771762.0
LD02,2023-06,3773946.0
LD02,2023-07,3776071.0
LD02,2023-08,3780164.0
LD02,2023-09,3784309.0
LD03,2002-01,7503794.0
LD03,2002-02,7507087.0
LD03,2002-03,7509885.0
LD03,2002-04,7513057.0
LD03,2002-05,7516072.0
LD03,2002-06,7518597.0
LD03,2002-07,7522495.0
LD03,2002-08,7527337.0
LD03,2002-09,7533428.0
LD03,2002-10,7538233.0
LD03,2002-11,7541396.0
LD03,2002-12,7543668.0
LD03,2003-01,7546598.0
LD03,2003-02,7549237.0
LD03,2003-03,7551626.0
LD03,2003-04,7554608.0
LD03,2003-05,7558183.0
LD03,2003-06,7560041.0
LD03,2003-07,7560209.0
LD03,2003-08,7564536.0
LD03,2003-09,7570235.0
LD03,2003-10,7574090.0
LD03,2003-11,7575452.0
LD03,2003-12,7580493.0
LD03,2004-01,7581770.0
LD03,2004-02,7583615.0
LD03,2004-03,7584777.0
LD03,2004-04,7585466.0
LD03,2004-05,7587293.0
LD03,2004-06,7589596.0
LD03,2004-07,7590698.0
LD03,2004-08,7593565.0
LD03,2004-09,7599225.0
LD03,2004-10,7602012.0
LD03,2004-11,7604446.0
LD03,2004-12,7608753.0
LD03,2005-01,7609508.0
LD03,2005-02,7609947.0
LD03,2005-03,7609796.0
LD03,2005-04,7610504.0
LD03,2005-05,7611344.0
LD03,2005-06,7611894.0
LD03,2005-07,7612832.0
LD03,2005-08,7614809.0
LD03,2005-09,7620281.0
LD03,2005-10,7622518.0
LD03,2005-11,7623888.0
LD03,2005-12,7625684.0
LD03,2006-01,7626174.0
LD03,2006-02,7627052.0
LD03,2006-03,7626244.0
LD03,2006-04,7625744.0
LD03,2006-05,7625662.0
LD03,2006-06,7627217.0
LD03,2006-07,7626963.0
LD03,2006-08,7629621.0
LD03,2006-09,7633932.0
LD03,2006-10,7636406.0
LD03,2006-11,7636508.0
LD03,2006-12,7639268.0
LD03,2007-01,7640422.0
LD03,2007-02,7643779.0
LD03,2007-03,7645593.0
LD03,2007-04,7647474.0
LD03,2007-05,7649456.0
LD03,2007-06,7651138.0
LD03,2007-07,7651814.0
LD03,2007-08,7654493.0
LD03,2007-09,7661416.0
LD03,2007-10,7664865.0
LD03,2007-11,7666706.0
LD03,2007-12,7669533.0
LD03,2008-01,7672230.0
LD03,2008-02,7676041.0
LD03,2008-03,7678665.0
LD03,2008-04,7682258.0
LD03,2008-05,7685396.0
LD03,2008-06,7689071.0
LD03,2008-07,7691757.0
LD03,2008-08,7695985.0
LD03,2008-09,7705854.0
LD03,2008-10,7712314.0
LD03,2008-11,7716161.0
LD03,2008-12,7719856.0
LD03,2009-01,7722548.0
LD03,2009-02,7727130.0
LD03,2009-03,7731762.0
LD03,2009-04,7734687.0
LD03,2009-05,7738726.0
LD03,2009-06,7742633.0
LD03,2009-07,7746562.0
LD03,2009-08,7752602.0
LD03,2009-09,7762696.0
LD03,2009-10,7767666.0
LD03,2009-11,7772641.0
LD03,2009-12,7777014.0
LD03,2010-01,7779895.0
LD03,2010-02,7784313.0
LD03,2010-03,7787068.0
LD03,2010-04,7790943.0
LD03,2010-05,7794098.0
LD03,2010-06,7797860.0
LD03,2010-07,7800957.0
LD03,2010-08,7809280.0
LD03,2010-09,7819234.0
LD03,2010-10,7824833.0
LD03,2010-11,7828921.0
LD03,2010-12,7830125.0
LD03,2011-01,7834321.0
LD03,2011-02,7839480.0
LD03,2011-03,7843240.0
LD03,2011-04,7845717.0
LD03,2011-05,7848906.0
LD03,2011-06,7851845.0
LD03,2011-07,7854147.0
LD03,2011-08,7861648.0
LD03,2011-09,7870317.0
LD03,2011-10,7874885.0
LD03,2011-11,7879662.0
LD03,2011-12,7880753.0
LD03,2012-01,7881888.0
LD03,2012-02,7885479.0
LD03,2012-03,7887315.0
LD03,2012-04,7889663.0
LD03,2012-05,7891610.0
LD03,2012-06,7892380.0
LD03,2012-07,7893213.0
LD03,2012-08,7899433.0
LD03,2012-09,7908247.0
LD03,2012-10,7913120.0
LD03,2012-11,7915265.0
LD03,2012-12,7914606.0
LD03,2013-01,7916515.0
LD03,2013-02,7919178.0
LD03,2013-03,7920875.0
LD03,2013-04,7921682.0
LD03,2013-05,7924016.0
LD03,2013-06,7926041.0
LD03,2013-07,7928113.0
LD03,2013-08,7935166.0
LD03,2013-09,7943369.0
LD03,2013-10,7949154.0
LD03,2013-11,7952225.0
LD03,2013-12,7952694.0
LD03,2014-01,7956227.0
LD03,2014-02,7961338.0
LD03,2014-03,7965004.0
LD03,2014-04,7968821.0
